JFK,r2,LSTMPipeline,0.605358191518573
JFK,mae,LSTMPipeline,1.0302026102619877
JFK,rmse,LSTMPipeline,1.891436941959585
LGA,r2,LSTMPipeline,0.7496395505540963
LGA,mae,LSTMPipeline,0.9017816805382849
LGA,rmse,LSTMPipeline,2.121679011644002
JFK,r2,LSTMComm24,0.5455553897773519
JFK,mae,LSTMComm24,1.126666384131009
JFK,rmse,LSTMComm24,2.029695089522044
LGA,r2,LSTMComm24,0.7082953643446084
LGA,mae,LSTMComm24,0.9893577933096652
LGA,rmse,LSTMComm24,2.292289804528076
JFK,r2,Comm6,0.50962341462421
JFK,mae,Comm6,1.196043393164991
JFK,rmse,Comm6,2.1177065521718252
LGA,r2,Comm6,0.6672724140227766
LGA,mae,Comm6,1.046991353634844
LGA,rmse,Comm6,2.4401860565096056
Penn,r2,Comm6,0.3694044650097103
Penn,mae,Comm6,1.0368269892849789
Penn,rmse,Comm6,3.1369901586724196
JFK,r2,Comm24,0.5141521152944809
JFK,mae,Comm24,1.180108466512604
JFK,rmse,Comm24,2.1079051983140547
LGA,r2,Comm24,0.6976400564443659
LGA,mae,Comm24,1.0307980386496547
LGA,rmse,Comm24,2.3261657899634884
Penn,r2,Comm24,0.4433159756088794
Penn,mae,Comm24,0.9938761440949869
Penn,rmse,Comm24,2.9474204381216107
JFK,r2,Boro,0.46310697111200544
JFK,mae,Boro,1.2101398746634637
JFK,rmse,Boro,2.215872660132415
LGA,r2,Boro,0.6209897931812762
LGA,mae,Boro,1.0906877835974196
LGA,rmse,Boro,2.60437782876621
Penn,r2,Boro,0.34165655048829874
Penn,mae,Boro,1.066628090281083
Penn,rmse,Boro,3.205265205375661
JFK,r2,PCA6,0.533139602161029
JFK,mae,PCA6,1.1699365264330082
JFK,rmse,PCA6,2.0663050378129086
JFK,r2,PCA24,0.50962341462421
JFK,mae,PCA24,1.196043393164991
JFK,rmse,PCA24,2.1177065521718252
LGA,r2,PCA6,0.7489078454501321
LGA,mae,PCA6,0.9785580519771565
LGA,rmse,PCA6,2.1198010764383595
LGA,r2,PCA24,0.7240587111656636
LGA,mae,PCA24,1.0272050084309419
LGA,rmse,PCA24,2.222219125929108
Penn,r2,PCA6,0.5792372297535827
Penn,mae,PCA6,0.8826374935261339
Penn,rmse,PCA6,2.562455698254011
Penn,r2,PCA24,0.5566129834836325
Penn,mae,PCA24,0.9089992715979872
Penn,rmse,PCA24,2.6304448552863278
